"tzid","timeZoneId","GMT_offset","DST_offset"
"1","Africa/Abidjan","+00:00","+00:00"
"2","Africa/Accra","+00:00","+00:00"
"3","Africa/Addis_Ababa","+03:00","+03:00"
"4","Africa/Algiers","+01:00","+01:00"
"5","Africa/Asmara","+03:00","+03:00"
"6","Africa/Bamako","+00:00","+00:00"
"7","Africa/Bangui","+01:00","+01:00"
"8","Africa/Banjul","+00:00","+00:00"
"9","Africa/Bissau","+00:00","+00:00"
"10","Africa/Blantyre","+02:00","+02:00"
"11","Africa/Brazzaville","+01:00","+01:00"
"12","Africa/Bujumbura","+02:00","+02:00"
"13","Africa/Cairo","+02:00","+03:00"
"14","Africa/Casablanca","+00:00","+00:00"
"15","Africa/Ceuta","+01:00","+02:00"
"16","Africa/Conakry","+00:00","+00:00"
"17","Africa/Dakar","+00:00","+00:00"
"18","Africa/Dar_es_Salaam","+03:00","+03:00"
"19","Africa/Djibouti","+03:00","+03:00"
"20","Africa/Douala","+01:00","+01:00"
"21","Africa/El_Aaiun","+00:00","+00:00"
"22","Africa/Freetown","+00:00","+00:00"
"23","Africa/Gaborone","+02:00","+02:00"
"24","Africa/Harare","+02:00","+02:00"
"25","Africa/Johannesburg","+02:00","+02:00"
"26","Africa/Kampala","+03:00","+03:00"
"27","Africa/Khartoum","+03:00","+03:00"
"28","Africa/Kigali","+02:00","+02:00"
"29","Africa/Kinshasa","+01:00","+01:00"
"30","Africa/Lagos","+01:00","+01:00"
"31","Africa/Libreville","+01:00","+01:00"
"32","Africa/Lome","+00:00","+00:00"
"33","Africa/Luanda","+01:00","+01:00"
"34","Africa/Lubumbashi","+02:00","+02:00"
"35","Africa/Lusaka","+02:00","+02:00"
"36","Africa/Malabo","+01:00","+01:00"
"37","Africa/Maputo","+02:00","+02:00"
"38","Africa/Maseru","+02:00","+02:00"
"39","Africa/Mbabane","+02:00","+02:00"
"40","Africa/Mogadishu","+03:00","+03:00"
"41","Africa/Monrovia","+00:00","+00:00"
"42","Africa/Nairobi","+03:00","+03:00"
"43","Africa/Ndjamena","+01:00","+01:00"
"44","Africa/Niamey","+01:00","+01:00"
"45","Africa/Nouakchott","+00:00","+00:00"
"46","Africa/Ouagadougou","+00:00","+00:00"
"47","Africa/Porto-Novo","+01:00","+01:00"
"48","Africa/Sao_Tome","+00:00","+00:00"
"49","Africa/Tripoli","+02:00","+02:00"
"50","Africa/Tunis","+01:00","+01:00"
"51","Africa/Windhoek","+02:00","+01:00"
"52","America/Adak","-10:00","-09:00"
"53","America/Anchorage","-09:00","-08:00"
"54","America/Anguilla","-04:00","-04:00"
"55","America/Antigua","-04:00","-04:00"
"56","America/Araguaina","-03:00","-03:00"
"57","America/Argentina/Buenos_Aires","-03:00","-03:00"
"58","America/Argentina/Catamarca","-03:00","-03:00"
"59","America/Argentina/Cordoba","-03:00","-03:00"
"60","America/Argentina/Jujuy","-03:00","-03:00"
"61","America/Argentina/La_Rioja","-03:00","-03:00"
"62","America/Argentina/Mendoza","-03:00","-03:00"
"63","America/Argentina/Rio_Gallegos","-03:00","-03:00"
"64","America/Argentina/Salta","-03:00","-03:00"
"65","America/Argentina/San_Juan","-03:00","-03:00"
"66","America/Argentina/San_Luis","-03:00","-03:00"
"67","America/Argentina/Tucuman","-03:00","-03:00"
"68","America/Argentina/Ushuaia","-03:00","-03:00"
"69","America/Aruba","-04:00","-04:00"
"70","America/Asuncion","-03:00","-04:00"
"71","America/Atikokan","-05:00","-05:00"
"72","America/Bahia","-03:00","-03:00"
"73","America/Bahia_Banderas","-06:00","-05:00"
"74","America/Barbados","-04:00","-04:00"
"75","America/Belem","-03:00","-03:00"
"76","America/Belize","-06:00","-06:00"
"77","America/Blanc-Sablon","-04:00","-04:00"
"78","America/Boa_Vista","-04:00","-04:00"
"79","America/Bogota","-05:00","-05:00"
"80","America/Boise","-07:00","-06:00"
"81","America/Cambridge_Bay","-07:00","-06:00"
